기관명,주소,시작일,종료일,홈페이지 주소,담당기관,전화번호호
동래읍성역사축제,부산광역시 동래구 문화로 80(명륜동),2025-10-24,2025-10-26,https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,동래문화원+동래읍성역사축제추진위원회,051-550-4092
동래읍성역사축제,부산광역시 동래구 문화로 80(명륜동),2025-10-24,2025-10-26,https://www.dongnae.go.kr/festival/index.dongnae?contentsSid=169,동래문화원+동래읍성역사축제추진위원회,051-550-4092
부산고등어축제,부산광역시 서구 송도해변로 100,2025-10-24,2025-10-26,http://www.busangde.co.kr,부산서구문화원,051-240-4062
2025년 섬 함초 축제,전라남도 신안군 증도면 지도증도로 1083-4,2025-10-24,2025-10-26,https://tour.shinan.go.kr/,축제추진위원회,061-240-3524
2025 화성 학생동아리 축제,경기도 화성시 동탄지성로 121,2025-10-25,2025-10-25,http://www.hsscf.kr/,화성시 인재육성재단,031-898-8440
인천원도사제낙섬축제,인천광역시 미추홀구 매소홀로 143,2025-10-25,2025-10-25,https://haksanculture.or.kr/board/view.php?code=notice&cat=&page=1&sq=1627&s_fld=&s_txt=6,미추홀학산문화원+용현5동 주민자치회,032-866-3994
도심속바다축제,서울특별시 동작구 노량진로 134,2025-10-25,2025-10-26,www.dongjak.go.kr,"서울특별시 동작구청 문화정책과, 수협노량진수산(주)",02-820-9657
거제 섬꽃축제,경상남도 거제시 거제면 거제남서로 3577,2025-10-25,2025-11-09,http://www.geoje.go.kr/flower/index.geoje,거제시농업기술센터 농업지원과,055-639-6443
김해분청도자기 축제,경상남도 김해시 진례면 분청로 17,2025-11-05,2025-11-10,http://www.gimhae.go.kr/00224/00223/03324.web?amode=view&idx=395,(사)김해도예협회+(재)김해문화관광재단,055-330-3245
영도다리축제,부산광역시 영도구 해양로 301번길 55,2025-11-07,2025-11-09,http://www.yeongdo.go.kr/ydfestival.web,영도문화원,051-419-4064
1004섬 분재정원 분재대전,전라남도 신안군 압해읍 무지개길 330,2025-11-07,2025-11-16,https://tour.shinan.go.kr/,축제추진위원회,061-240-5445
제28회 파주장단콩축제,경기도 파주시 문산읍 임진각로 177,2025-11-21,2025-11-23,http://tour.paju.go.kr,파주장단콩축제추진위원회,031-940-5281
개천절 대제전,서울특별시 종로구 인왕산로 22,2025-11-22,2025-11-22,http://blog.naver.com/lgb301,(사)현정회,02-2148-1807
섬 새우젓축제,전라남도 신안군 지도읍 해제지도로 1283-24,2025-11-24,2025-11-25,https://tour.shinan.go.kr/,축제추진위원회,061-240-8410
2025년 섬 겨울꽃 축제,전라남도 신안군 압해읍 무지개길 330,2025-12-19,2026-01-31,https://tour.shinan.go.kr/,축제추진위원회,061-240-5445
산타축제,전북특별자치도 임실군 성수면 도인2길 50,2025-12-25,2025-12-28,www.cheesepark.kr,(재)임실치즈테마파크,063-643-2300
간절곶 해맞이 축제,울산광역시 울주군 서생면 간절곶1길 39-2,2025-12-31,2026-01-01,https://www.ucf.or.kr:478/culturearts/festival_01.html,울산광역시 울주군청,052-204-0315
